Å¶1Ç¬ÇÃåöï®ÇÃélã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ínê}(ñkÇ™è„)Ç…ï`Ç©ÇÍÇƒÇ¢ÇÈåöï®ÇÃç∂è„Å®âEè„Å®ç∂â∫Å®âEâ∫ÇÃèáÇ≈élã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶xÇÕåöï®ÇÃélã˜ÇÃxç¿ïWÇÅAyÇÕåöï®ÇÃélã˜ÇÃyç¿ïWÇÅAÇàÇÕåöï®ÇÃçÇÇ≥Çé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ç¿ïWÇÃå¥ì_ÇÕïΩòaí ÇËÇ∆èüéRí ÇËÇ™åÇÌÇÈãõí¨åç∑ì_ÇÃê^ÇÒíÜÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],âìï˚ÇÃçÇÇ¢ÉrÉã,,,,,,,,,,
,,,,,,,-337.8,90.1,30,,,-153.5,148.5,9,,,-32.4,52.3,14,,,-82.2,391.5,35,,,,,,,,,,,
,,,,,,,-345.5,85.9,30,,,-190.0,114.6,9,,,-82.5,22.9,14,,,-113.4,387.1,35,,,,,,,,,,,
,,,,,,,-339.7,79.0,30,,,-161.1,109.4,9,,,-40.0,15.0,14,,,-87.6,377.2,35,,,,,,,,,,,
,,,,,,,-337.0,90.1,37,,,-143.4,145.1,12,,,-153.8,0.9,42,ãõí¨ÇPíöñ⁄ÇSî‘ín,,-74.7,396.0,35,,,,,,,,,,,
,,,,,,,-324.1,87.5,37,,,-132.7,142.8,12,,,-125.2,-5.5,42,,,-63.8,391.5,35,,,,,,,,,,,
,,,,,,,-339.1,78.7,37,,,-144.9,138.9,12,,,-158.6,-22.9,42,,,-84.2,367.8,35,,,,,,,,,,,
,,,,,,,-326.2,76.1,37,,,-134.2,136.8,12,,,-130.4,-31.1,42,,,-74.2,363.9,35,,,,,,,,,,,
,,,,,,,-338.4,76.7,13,,,-152.0,138.1,12,,,-117.4,-4.9,32,,,40.4,351.9,20,,,,,,,,,,,
,,,,,,,-326.5,74.1,13,,,-134.2,133.9,12,,,-94.4,-8.9,32,,,59.7,344.9,20,,,,,,,,,,,
,,,,,,,-333.1,69.0,13,,,-159.0,109.1,12,,,-122.6,-31.8,32,,,37.4,342.5,20,,,,,,,,,,,
,,,,,,,-327.8,68.2,13,,,-140.7,105.0,12,,,-100.9,-37.5,32,,,56.7,335.1,20,,,,,,,,,,,
,,,,,,,-322.3,87.8,10,,,-120.7,162.2,9,ãûí¨ÇQíöñ⁄ÇUî‘ín,,-83.8,15.4,12,ãõí¨ÇPíöñ⁄ÇTî‘ín,,148.2,483.1,40,,,,,,,,,,,
,,,,,,,-307.1,84.4,10,,,-101.5,158.2,9,,,-64.1,11.5,12,,,188.9,469.2,40,,,,,,,,,,,
,,,,,,,-326.0,67.7,10,,,-125.4,137.1,9,,,-86.8,0.8,12,,,123.8,418.9,40,,,,,,,,,,,
,,,,,,,-311.0,65.1,10,,,-105.9,133.4,9,,,-66.5,-3.2,12,,,163.5,406.5,40,,,,,,,,,,,
,,,,,,,-297.4,126.3,12,,,-126.4,136.1,12,,,-62.0,11.2,30,,,228.5,435.6,25,,,,,,,,,,,
,,,,,,,-275.8,122.6,12,,,-117.2,134.6,12,,,-42.9,7.6,30,,,285.1,420.2,25,,,,,,,,,,,
,,,,,,,-308.4,64.5,12,,,-132.1,105.4,12,,,-65.2,-3.2,30,,,210.1,384.8,25,,,,,,,,,,,
,,,,,,,-287.6,60.1,12,,,-122.6,103.4,12,,,-46.5,-7.2,30,,,264.2,366.9,25,,,,,,,,,,,
,,,,,,,-270.2,120.6,12,ãûí¨ÇPíöñ⁄ÇTî‘ín,,-116.9,132.8,10,,,-92.5,-23.9,18,,,285.1,420.2,130,,,,,,,,,,,
,,,,,,,-259.0,118.1,12,,,-105.1,130.9,10,,,-67.7,-28.7,18,,,308.4,410.3,130,,,,,,,,,,,
,,,,,,,-282.0,60.3,12,,,-122.4,102.6,10,,,-96.1,-39.1,18,,,263.2,362.5,130,,,,,,,,,,,
,,,,,,,-270.8,58.0,12,,,-110.9,100.2,10,,,-70.1,-45.2,18,,,290.4,353.6,130,,,,,,,,,,,
,,,,,,,-246.5,116.3,12,,,-99.7,157.5,8,,,-66.4,-29.1,30,,,305.9,401.5,25,,,,,,,,,,,
,,,,,,,-209.1,109.6,12,,,-74.6,153.0,8,,,-60.1,-30.0,30,,,331.7,392.5,25,,,,,,,,,,,
,,,,,,,-252.3,91.7,12,,,-110.1,100.4,8,,,-69.6,-44.7,30,,,290.4,353.6,25,,,,,,,,,,,
,,,,,,,-214.4,84.6,12,,,-85.8,95.2,8,,,-62.6,-44.9,30,,,315.2,344.6,25,,,,,,,,,,,
